CUE, TARGET, FSG
ACTIVE, RUNNING,0.013
ACTIVE, YOUNG,0.013
ACTIVITY, FUN,0.127
ACTIVITY, SPORT,0.127
ACTIVITY, BUSY,0.08
ACTIVITY, GAME,0.053
ACTIVITY, RUN,0.04
ACTIVITY, WORK,0.04
ACTIVITY, ENERGY,0.033
ACTIVITY, BASKETBALL,0.027
ACTIVITY, LAZY,0.027
ACTIVITY, MOVEMENT,0.027
ACTIVITY, ACTIVE,0.02
ACTIVITY, EXTRACURRICULAR,0.02
ACTIVITY, PLAY,0.02
ACTIVITY, SEX,0.02
ACTIVITY, EVENT,0.013
ACTIVITY, EXERCISE,0.013
ACTIVITY, HOBBY,0.013
ACTIVITY, JOB,0.013
ACTIVITY, SCHOOL,0.013
ACTIVITY, TENNIS,0.013
ACTIVITY, TIRED,0.013
ACTIVITY, VOLLEYBALL,0.013
ACTOR, ACTRESS,0.578
ACTOR, MOVIE,0.074
ACTOR, STAGE,0.074
ACTOR, TELEVISION,0.041
ACTOR, PLAY,0.027
ACTOR, THESPIAN,0.02
ACTOR, COMEDIAN,0.014
ACTOR, HOLLYWOOD,0.014
ACTOR, MALE,0.014
ACTOR, MAN,0.014
ACTOR, PERSON,0.014
ACTOR, ROLE,0.014
ACTOR, STAR,0.014
ACTOR, THEATER,0.014
ACTRESS, ACTOR,0.507
ACTRESS, MOVIE,0.066
ACTRESS, WOMAN,0.053
ACTRESS, STAR,0.046
ACTRESS, FAME,0.039
ACTRESS, TELEVISION,0.026
ACTRESS, GIRL,0.02
ACTRESS, ACT,0.013
ACTRESS, BEAUTY,0.013
ACTRESS, MODEL,0.013
ACTRESS, PRETTY,0.013
AD, NEWSPAPER,0.252
AD, COMMERCIAL,0.079
AD, PAPER,0.079
AD, SUBTRACT,0.079
AD, DROP,0.04
AD, MAGAZINE,0.04
AD, SELL,0.033
AD, CAMPAIGN,0.026
AD, CLASSIFIED,0.026
AD, TELEVISION,0.026
AD, BUSINESS,0.02
